Rk,Name,Age,Tm,BA,OBP,SLG,OPS,ISO,rOBA,SB,CS,RS%,SB%,Username
25,Miguel Andujar,29,OAK,0.281,0.306,0.382,0.688,0.101,0.308,2,1,0.33,0.67,andujmi01
30,Randy Arozarena,29,TBR,0.202,0.309,0.362,0.671,0.16,0.3,14,7,0.26,0.67,arozara01
56,Josh Bell#,31,MIA,0.228,0.289,0.356,0.644,0.128,0.291,0,0,0.22,0,belljo02
57,Cody Bellinger*,28,CHC,0.269,0.331,0.41,0.742,0.141,0.327,5,2,0.29,0.71,bellico01
65,Bo Bichette,26,TOR,0.222,0.275,0.321,0.596,0.099,0.269,5,1,0.29,0.83,bichebo01
121,Jazz Chisholm Jr.*,26,MIA,0.249,0.321,0.407,0.727,0.158,0.32,18,8,0.25,0.69,chishja01
127,Michael Conforto*,31,SFG,0.237,0.31,0.438,0.748,0.201,0.326,0,1,0.22,0,confomi01
159,Elias Diaz,33,COL,0.286,0.33,0.403,0.733,0.117,0.325,0,0,0.19,0,diazel01
204,Joey Gallo*,30,WSN,0.164,0.285,0.321,0.606,0.157,0.279,1,1,0.29,0.5,gallojo01
224,Yasmani Grandal#,35,PIT,0.178,0.207,0.295,0.502,0.116,0.255,1,0,0.28,1,grandya01
228,Randal Grichuk,32,ARI,0.279,0.333,0.442,0.776,0.163,0.345,0,0,0.33,0,grichra01
234,Vladimir Guerrero Jr.,25,TOR,0.288,0.359,0.456,0.815,0.167,0.356,2,0,0.24,1,guerrvl02
271,Nico Hoerner,27,CHC,0.256,0.336,0.348,0.684,0.092,0.322,14,2,0.36,0.88,hoernni01
281,Jonathan India,27,CIN,0.275,0.377,0.427,0.804,0.152,0.367,8,1,0.31,0.89,indiajo01
285,Danny Jansen,29,TOR,0.223,0.316,0.391,0.707,0.168,0.315,0,0,0.34,0,janseda01
289,Eloy Jimenez,27,CHW,0.239,0.294,0.35,0.645,0.112,0.286,3,0,0.21,1,jimenel02
291,Connor Joe,31,PIT,0.242,0.33,0.39,0.72,0.148,0.324,2,1,0.37,0.67,joeco01
299,Corey Julks,28,CHW,0.239,0.308,0.385,0.694,0.147,0.306,3,1,0.24,0.75,julksco01
311,Isiah Kiner-Falefa,29,TOR,0.292,0.338,0.42,0.758,0.128,0.338,3,1,0.29,0.75,kineris01
414,Christopher Morel,25,CHC,0.202,0.303,0.387,0.69,0.185,0.308,7,5,0.24,0.58,morelch01
458,Joc Pederson*,32,ARI,0.273,0.374,0.498,0.871,0.225,0.377,4,1,0.24,0.8,pederjo01
468,Tommy Pham,36,CHW,0.264,0.339,0.368,0.706,0.104,0.33,5,2,0.33,0.71,phamth01
469,Kevin Pillar,35,LAA,0.268,0.331,0.463,0.795,0.195,0.345,7,2,0.3,0.78,pillake01
491,Luis Rengifo#,27,LAA,0.315,0.358,0.442,0.8,0.127,0.359,22,6,0.33,0.79,rengilu01
500,Luis Robert Jr.,26,CHW,0.236,0.313,0.491,0.804,0.255,0.353,11,0,0.27,1,roberlu01
506,Brendan Rodgers,27,COL,0.262,0.306,0.383,0.689,0.121,0.312,1,0,0.3,1,rodgebr02
516,Brent Rooker,29,OAK,0.291,0.369,0.573,0.942,0.281,0.404,5,1,0.22,0.83,rookebr01
559,Austin Slater,31,CIN,0.192,0.314,0.232,0.546,0.04,0.269,2,1,0.3,0.67,slateau01
575,Jacob Stallings,34,COL,0.254,0.352,0.415,0.767,0.162,0.345,0,0,0.24,0,stallja01
593,Mike Tauchman*,33,CHC,0.259,0.359,0.382,0.741,0.123,0.335,5,1,0.38,0.83,tauchmi01
603,Lane Thomas,28,WSN,0.252,0.318,0.404,0.722,0.318,0.262,23,9,0.33,0.72,thomala02
608,Abraham Toro#,27,OAK,0.26,0.303,0.386,0.689,0.126,0.302,3,2,0.31,0.6,toroab01
628,Gio Urshela,32,DET,0.252,0.289,0.342,0.631,0.09,0.291,0,0,0.21,0,urshegi01
645,LaMonte Wade Jr.*,30,SFG,0.311,0.438,0.419,0.857,0.108,0.381,1,1,0.28,0.5,wadela01
647,Christian Walker,33,ARI,0.264,0.343,0.495,0.837,0.231,0.355,2,2,0.3,0.5,walkech02
653,Taylor Ward,30,LAA,0.228,0.312,0.401,0.713,0.173,0.316,3,3,0.28,0.5,wardta01
672,Jesse Winker*,30,WSN,0.26,0.374,0.432,0.806,0.172,0.364,12,4,0.3,0.75,winkeje01
680,Mike Yastrzemski*,33,SFG,0.241,0.316,0.436,0.752,0.195,0.328,1,0,0.3,1,yastrmi01
,LgAvg per 600 PA,,,0.243,0.312,0.395,0.707,0.153,0.153,11,3,0.31,0.78,
