Rk,Name,Age,Tm,FIP,IS%,SO9,SV,Username
3,Jason Adam,32,TBR,3.21,0.5,9.2,4,adamja01
4,Austin Adams,33,OAK,4.72,0.42,11.6,0,adamsau02
9,Scott Alexander*,34,OAK,4.56,0.14,4.3,0,alexasc02
96,John Brebbia,34,CHW,3.22,0.47,11.4,2,brebbjo01
133,Andrew Chafin*,34,DET,2.82,0.33,11.5,1,chafian01
134,Aroldis Chapman*,36,PIT,4.29,0.18,14.5,4,chapmar01
197,Lucas Erceg,29,OAK,3.49,0.22,10.2,2,erceglu01
205,Buck Farmer,33,CIN,4.22,0.42,7.5,0,farmebu01
220,Dylan Floro,33,WSN,2.31,0.5,7.3,0,florody01
234,Luis Garcia,37,LAA,3.89,0.53,8.4,3,garcilu03
273,Hunter Harvey,29,WSN,3.16,0.06,10,0,harvehu01
389,Derek Law,33,WSN,3.71,0.69,7.8,1,lawde01
393,Jose Leclerc,30,TEX,3.77,0.14,11.9,1,leclejo01
440,Nick Martinez,33,CIN,3.15,0.7,7,0,martini01
455,T.J. McFarland*,35,OAK,3.81,0.28,6.6,0,mcfartj01
582,Trevor Richards,31,TOR,3.95,0.25,8.7,0,richatr01
586,David Robertson,39,TEX,2.23,0.12,13.5,1,roberda08
597,Taylor Rogers*,33,SFG,3.56,0.25,9.8,0,rogerta01
599,Tyler Rogers,33,SFG,2.99,0.67,6.8,1,rogerty01
645,Lucas Sims,30,CIN,5.29,0.42,9.8,1,simslu01
659,Drew Smyly*,35,CHC,4.73,0.2,8.2,0,smylydr01
693,Brent Suter*,34,CIN,4.35,0.5,7.1,0,suterbr01
701,Ryan Thompson,32,ARI,3.59,0.67,6.4,0,thompry02
718,Jose Urena,32,TEX,4.31,0.3,6.1,1,urenajo01
773,Justin Wilson*,36,CIN,3.28,0.18,10.9,1,wilsoju10
,Lg Avg per 180 IP,,,4.09,,8.5,5,
