Rk,Name,Age,Tm,FIP,HR9,BB9,SO9,QS%,Username
24,Tyler Anderson*,34,LAA,4.6,1.1,3.6,6.2,0.53,anderty01
75,Paul Blackburn,30,OAK,4.21,1.2,2.5,7,0.5,blackpa01
121,Griffin Canning,28,LAA,5.31,1.6,3.2,6.2,0.25,cannigr01
146,Mike Clevinger,33,CHW,6.23,2.3,5.1,8.4,0,clevimi01
161,Garrett Crochet*,25,CHW,2.36,0.8,1.9,12.6,0.55,crochga01
191,Zach Eflin,30,TBR,3.66,1.2,0.8,7.1,0.33,eflinza01
196,Nathan Eovaldi,34,TEX,3.58,1,2.5,8.8,0.47,eovalna01
207,Erick Fedde,31,CHW,3.53,0.9,2.4,8,0.47,feddeer01
217,Jack Flaherty,28,DET,3.17,1.3,1.5,11.3,0.59,flaheja01
238,Braxton Garrett*,26,MIA,3.81,1.2,1,8.3,0.29,garrebr01
248,Austin Gomber*,30,COL,4.92,1.6,2.3,6.1,0.33,gombeau01
255,Jon Gray,32,TEX,3.48,0.8,2.4,7.7,0.38,grayjo02
274,Andrew Heaney*,33,TEX,4.02,1.3,2.5,9.2,0.28,heanean01
355,Merrill Kelly,35,ARI,3.77,1.1,2.2,7.7,0.75,kellyme01
362,Yusei Kikuchi*,33,TOR,3.68,1.4,2.2,9.9,0.38,kikucyu01
400,Zack Littell,28,TBR,3.78,1.2,1.7,8.3,0.37,litteza01
414,Michael Lorenzen,32,TEX,5.18,1.3,4.3,6.4,0.5,lorenmi01
422,Jesus Luzardo*,26,MIA,4.26,1.2,3,7.8,0.33,luzarje01
489,Frankie Montas,31,CIN,4.8,1.3,3.7,7.4,0.33,montafr02
495,Jordan Montgomery,31,ARI,4.43,1.1,3.2,6.2,0.38,morgael01
565,Cal Quantrill,29,COL,4.77,1.2,3.4,6.9,0.55,quantca01
601,Trevor Rogers*,26,MIA,4.48,1,4.2,7.5,0.16,romanjo03
648,Tarik Skubal*,27,DET,2.57,0.8,1.6,10.9,0.74,skubata01
683,Ross Stripling,34,OAK,4.01,1,1.9,5.7,0.18,stripro01
695,Jameson Taillon,32,CHC,3.81,1.2,1.7,7.3,0.56,taillja01
770,Trevor Williams,32,WSN,2.81,0.3,2.5,7.5,0.09,willitr01
783,Alex Wood*,33,OAK,5.3,1.4,4.3,7.6,0.11,woodal02
,Lg Avg per 180 IP,,,4.09,1.1,,8.5,,
