Tm,Abbreviation,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,ARI,4.79,49,48,0.505,4.56,97,97,97,0,6,0,21,861.2,873,465,437,110,281,14,709,33,6,31,3681,89,4.27,1.339,9.1,1.1,2.9,7.4,2.52,643
Atlanta Braves,ATL,3.6,53,42,0.558,3.4,95,95,93,2,11,1,26,842,731,342,318,81,269,12,840,42,3,21,3473,124,3.53,1.188,7.8,0.9,2.9,9,3.12,617
Baltimore Orioles,BAL,4.1,58,38,0.604,3.71,96,96,96,0,7,0,31,862.1,747,394,355,99,286,4,827,38,3,24,3605,102,3.85,1.198,7.8,1,3,8.6,2.89,637
Boston Red Sox,BOS,4.23,53,42,0.558,3.64,95,95,94,1,11,1,26,853.1,768,402,345,96,246,14,823,41,2,31,3559,118,3.71,1.188,8.1,1,2.6,8.7,3.35,612
Chicago Cubs,CHC,4.29,47,51,0.48,3.79,98,98,97,1,7,0,22,864,784,420,364,104,298,6,845,33,3,28,3661,112,3.92,1.252,8.2,1.1,3.1,8.8,2.84,659
Chicago White Sox,CHW,5,27,71,0.276,4.57,98,98,98,0,5,0,17,862,813,490,438,121,366,11,825,31,9,37,3751,91,4.46,1.368,8.5,1.3,3.8,8.6,2.25,690
Cincinnati Reds,CIN,4.06,47,50,0.485,3.82,97,97,97,0,4,0,21,856.2,771,394,364,104,304,6,817,54,1,28,3635,114,4.09,1.255,8.1,1.1,3.2,8.6,2.69,675
Cleveland Guardians,CLE,3.88,58,37,0.611,3.71,95,95,95,0,8,0,34,841,732,369,347,109,296,3,842,36,3,32,3496,109,4.03,1.222,7.8,1.2,3.2,9,2.84,615
Colorado Rockies,COL,5.9,34,63,0.351,5.61,97,97,97,0,1,0,20,857,980,572,534,121,346,12,651,35,2,41,3815,82,4.81,1.547,10.3,1.3,3.6,6.8,1.88,689
Detroit Tigers,DET,4.33,47,50,0.485,3.95,97,97,97,0,6,0,21,859.2,790,420,377,96,262,8,829,34,4,34,3600,105,3.72,1.224,8.3,1,2.7,8.7,3.16,615
Houston Astros,HOU,4.25,50,46,0.521,4.03,96,96,94,2,5,1,23,852.1,759,408,382,111,349,2,832,45,6,35,3622,99,4.29,1.3,8,1.2,3.7,8.8,2.38,669
Kansas City Royals,KCR,3.94,52,45,0.536,3.8,97,97,96,1,4,0,24,848,787,382,358,89,293,6,784,38,2,22,3591,114,3.85,1.274,8.4,0.9,3.1,8.3,2.68,670
Los Angeles Angels,LAD,4.92,41,55,0.427,4.59,96,96,96,0,5,0,23,851.1,769,472,434,114,354,14,743,51,8,38,3637,93,4.59,1.319,8.1,1.2,3.7,7.9,2.1,623
Los Angeles Dodgers,MIA,4.03,56,41,0.577,3.76,97,97,96,1,9,1,28,867.1,736,391,362,113,295,13,817,34,3,31,3598,108,4.11,1.189,7.6,1.2,3.1,8.5,2.77,620
Miami Marlins,MIL,5.08,33,63,0.344,4.6,96,96,95,1,5,1,16,851.1,836,488,435,101,326,14,784,53,5,33,3706,95,4.2,1.365,8.8,1.1,3.4,8.3,2.4,683
